threshold,acc,precision,recall,tpr,f1,fpr,fnr,TN,FP,FN,TP
0.1790000,0.9780563,0.9721329487142557,0.9843291666666667,0.9843291666666667,0.9781930432226181,0.028216666666666668,0.015670833333333332,466456,13544,7522,472478
0.1810000,0.9781125,0.9723148,0.9842500,0.9842500,0.9782460150824315,0.0280250,0.0157500,466548,13452,7560,472440
0.1830000,0.9781708333333333,0.9724930419459495,0.9841791666666667,0.9841791666666667,0.9783012069151183,0.0278375,0.015820833333333333,466638,13362,7594,472406
0.1850000,0.9782813,0.9727637036091284,0.9841166666666666,0.9841166666666666,0.9784072526776042,0.027554166666666668,0.015883333333333333,466774,13226,7624,472376
0.1870000,0.9783333333333334,0.9729495904948667,0.9840250,0.9840250,0.9784559548569393,0.0273583,0.0159750,466868,13132,7668,472332
0.1890000,0.9783875,0.9731434929531031,0.9839291666666666,0.9839291666666666,0.9785066092073095,0.027154166666666667,0.016070833333333333,466966,13034,7714,472286
0.1910000,0.9784645833333333,0.9733387,0.9838791666666666,0.9838791666666666,0.9785805606725252,0.0269500,0.016120833333333334,467064,12936,7738,472262
0.1930000,0.9785125,0.9734778521719054,0.9838291666666666,0.9838291666666666,0.9786261377012218,0.026804166666666667,0.016170833333333332,467134,12866,7762,472238
0.1950000,0.9785813,0.9736728154499004,0.9837625,0.9837625,0.9786916538683944,0.0266000,0.0162375,467232,12768,7794,472206
0.1970000,0.9786125,0.9738033955353166,0.9836875,0.9836875,0.9787204934955104,0.0264625,0.0163125,467298,12702,7830,472170
0.1990000,0.9786563,0.9739816064068129,0.9835875,0.9835875,0.9787609848932451,0.0262750,0.0164125,467388,12612,7878,472122
0.2010000,0.9786958333333333,0.9741323098510173,0.9835083333333333,0.9835083333333333,0.9787978685907404,0.026116666666666667,0.0164917,467464,12536,7916,472084
0.2030000,0.9787229166666667,0.9742941946243617,0.9833916666666667,0.9833916666666667,0.9788217924232904,0.025945833333333335,0.016608333333333333,467546,12454,7972,472028
0.20500000000000002,0.9787438,0.9744049216540391,0.9833166666666666,0.9833166666666666,0.9788405105818185,0.025829166666666667,0.016683333333333335,467602,12398,8008,471992
0.20700000000000002,0.9787979166666667,0.9745722462903232,0.9832500,0.9832500,0.9788918917237216,0.025654166666666665,0.0167500,467686,12314,8040,471960
0.20900000000000002,0.9788375,0.9747193099858725,0.9831750,0.9831750,0.9789288959139731,0.0255000,0.0168250,467760,12240,8076,471924
0.2110000,0.9788770833333333,0.9748625164752984,0.9831041666666667,0.9831041666666667,0.9789659958218281,0.0253500,0.016895833333333332,467832,12168,8110,471890
0.2130000,0.9789354166666666,0.9750302719724928,0.9830458333333333,0.9830458333333333,0.9790216464407758,0.0251750,0.016954166666666666,467916,12084,8138,471862
0.2150000,0.9789625,0.9751533539458673,0.9829708333333333,0.9829708333333333,0.9790464886579626,0.025045833333333333,0.017029166666666668,467978,12022,8174,471826
0.2170000,0.9789938,0.9753199230944161,0.9828583333333333,0.9828583333333333,0.9790746,0.0248708,0.017141666666666666,468062,11938,8228,471772
